monday,Applied Linear Algebra - B503,CALCULUS II - B503
tuesday,GENERAL CHEMISTRY - B503,
wednesday,TURK INKILAP TARIHI I - B503,TURK DILI II - B403
thursday,Computer Programming II - B403,PROBABILITY AND STATISTICS - B403
friday,PHYSICS II - B503,
