monday,Data Structures - B403,ENGINEERING MATHEMATICS II - B503
tuesday,Computer System Architecture - B403,PRINCIPLES OF BODY MOVEMENT - C408
wednesday,Programming Languages - C405,
thursday,,
friday,,
