monday,Human Computer Interaction - A402,Formal Languages and Automata Theory - B403
tuesday,WEB TECHNOLOGY APPLICATIONS - C408,Computer Networks - B403
wednesday,Parallel Programming I - C408,Software Engineering - B503
thursday,,
friday,,
